"Today","Today"
"Apr","Apr"
"April","April"
"Aug","Aug"
"August","August"
"Dec","Dec"
"December","December"
"Feb","Feb"
"Februar","Februar"
"Fri","Fri"
"Friday","Friday"
"Jan","Jan"
"January","January"
"Jul","Jul"
"July","July"
"Jun","Jun"
"June","June"
"Mar","Mar"
"March","March"
"May","May"
"Mon","Mon"
"Monday","Monday"
"Nov","Nov"
"November","November"
"Oct","Oct"
"October","October"
"Sat","Sat"
"Saturday","Saturday"
"Sep","Sep"
"September","September"
"Sun","Sun"
"Sunday","Sunday"
"Thu","Thu"
"Thursday","Thursday"
"Tue","Tue"
"Tuesday","Tuesday"
"Wed","Wed"
"Wednesday","Wednesday"
"Your pickup date:","Your pickup date:"
"Your pickup time:","Your pickup time:"
"Please select a point of sale","Please select a point of sale"
"Store Pickup ?","Store Pickup ?"
"Billing Address","Billing Address"
